id;name;active;start_date;priority;status;remarks;user_id
1;withdrawal Moldovan Leu Intelligent;false;2020-09-20;NORMAL;NOT_STARTED;Supervisor deposit;2
2;bifurcated South Dakota;false;2020-09-20;HIGH;DONE;Usability Wisconsin Pakistan Rupee;1
3;reboot;false;2020-09-21;HIGH;DONE;Ramp;2
4;Movies Reduced Tasty;false;2020-09-21;NORMAL;DONE;Western Sahara Plastic;2
5;real-time navigate Applications;true;2020-09-21;NORMAL;IN_PROGRESS;Rustic Expanded;2
6;Borders;false;2020-09-20;HIGH;IN_PROGRESS;Infrastructure New York deposit;1
7;cross-platform Colombian Peso Unidad de Valor Real initiatives;false;2020-09-21;NORMAL;DONE;card Paradigm magenta;1
8;Cambridgeshire;true;2020-09-21;MEDIUM;DONE;solutions Monaco;1
9;Congo coherent SQL;false;2020-09-20;NORMAL;DONE;silver;2
10;New Israeli Sheqel Oman withdrawal;true;2020-09-21;HIGH;NOT_STARTED;Surinam Dollar;2
